YEAR;DOY;ALLSKY_SFC_SW_DWN;CLRSKY_SFC_SW_DWN;PRECTOTCORR;RH2M;WS2M;T2M_MAX;T2M_MIN
2021;355;15,77;22,87;21,76;84,94;0,12;30,88;22,73
2021;356;16,94;23,29;15,52;89;0,12;29,07;22,36
2021;357;13,42;23,08;5,65;87,44;0,14;29,48;22,36
2021;358;16,05;23,25;1,39;84,06;0,12;29,41;23,05
2021;359;18,37;23,15;1,91;79,75;0,12;30,44;23,65
2021;360;19,1;23,18;2,21;77,12;0,12;32,54;22,62
2021;361;15,66;22,92;2,82;81,69;0,11;30,83;23,33
2021;362;16,96;22,93;1,09;78,5;0,12;31,17;22,81
2021;363;17,32;23,12;14,93;81,94;0,1;30;22,95
2021;364;17,3;22,41;2,07;81,38;0,12;31,04;22,75
2021;365;17,1;20,52;0;74,75;0,18;32,01;23,23
